Diptera,Tephritidae,Bactrocera tryoni,[59916](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=59916 "NCBI Taxonomy DB Record"),Queensland fruit fly,[15403](https://www.ncbi.nlm.nih.gov/genome/?term=15403 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Phasmatodea,Timematidae,Timema cristinae,[61476](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=61476 "NCBI Taxonomy DB Record"),NA,[53264](https://www.ncbi.nlm.nih.gov/genome/?term=53264 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles funestus,[62324](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=62324 "NCBI Taxonomy DB Record"),African malaria mosquito,[2697](https://www.ncbi.nlm.nih.gov/genome/?term=2697 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Hymenoptera,Figitidae,Leptopilina clavipes,[63434](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=63434 "NCBI Taxonomy DB Record"),NA,[12952](https://www.ncbi.nlm.nih.gov/genome/?term=12952 "NCBI Genome DB Record")
Lepidoptera,Pieridae,Pieris rapae,[64459](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=64459 "NCBI Taxonomy DB Record"),cabbage white; European cabbage white; small cabbage white; small white,[10517](https://www.ncbi.nlm.nih.gov/genome/?term=10517 "NCBI Genome DB Record")
Hymenoptera,Formicidae,Trachymyrmex zeteki,[64791](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=64791 "NCBI Taxonomy DB Record"),NA,[44394](https://www.ncbi.nlm.nih.gov/genome/?term=44394 "NCBI Genome DB Record")
Hymenoptera,Formicidae,Wasmannia auropunctata,[64793](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=64793 "NCBI Taxonomy DB Record"),little fire ant,[36651](https://www.ncbi.nlm.nih.gov/genome/?term=36651 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Hymenoptera,Braconidae,Fopius arisanus,[64838](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=64838 "NCBI Taxonomy DB Record"),NA,[35518](https://www.ncbi.nlm.nih.gov/genome/?term=35518 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Lepidoptera,Papilionidae,Papilio xuthus,[66420](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=66420 "NCBI Taxonomy DB Record"),Asian swallowtail; Chinese swallowtail; Chinese yellow swallowtail,[13942](https://www.ncbi.nlm.nih.gov/genome/?term=13942 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles farauti No. 4,[59191](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=59191 "NCBI Taxonomy DB Record"),NA,[17208](https://www.ncbi.nlm.nih.gov/genome/?term=17208 "NCBI Genome DB Record")
Hymenoptera,Formicidae,Lasius niger,[67767](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=67767 "NCBI Taxonomy DB Record"),NA,[14569](https://www.ncbi.nlm.nih.gov/genome/?term=14569 "NCBI Genome DB Record")
Diptera,Culicidae,Anopheles farauti,[69004](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=69004 "NCBI Taxonomy DB Record"),NA,[11553](https://www.ncbi.nlm.nih.gov/genome/?term=11553 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Hymenoptera,Braconidae,Microplitis demolitor,[69319](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=69319 "NCBI Taxonomy DB Record"),NA,[12766](https://www.ncbi.nlm.nih.gov/genome/?term=12766 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Siphonostomatoida,Caligidae,Lepeophtheirus salmonis,[72036](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=72036 "NCBI Taxonomy DB Record"),salmon louse,[2713](https://www.ncbi.nlm.nih.gov/genome/?term=2713 "NCBI Genome DB Record")
Diptera,Culicidae,Anopheles maculatus,[74869](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=74869 "NCBI Taxonomy DB Record"),NA,[11550](https://www.ncbi.nlm.nih.gov/genome/?term=11550 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles sinensis,[74873](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=74873 "NCBI Taxonomy DB Record"),NA,[12170](https://www.ncbi.nlm.nih.gov/genome/?term=12170 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Lepidoptera,Papilionidae,Papilio machaon,[76193](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=76193 "NCBI Taxonomy DB Record"),common yellow swallowtail; Old World swallowtail; artemisia swallowtail,[14159](https://www.ncbi.nlm.nih.gov/genome/?term=14159 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase")
Diptera,Cecidomyiidae,Mayetiola destructor,[39758](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=39758 "NCBI Taxonomy DB Record"),Hessian fly,[2619](https://www.ncbi.nlm.nih.gov/genome/?term=2619 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Lepidoptera,Pieridae,Phoebis sennae,[40077](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=40077 "NCBI Taxonomy DB Record"),cloudless sulphur butterfly,[44038](https://www.ncbi.nlm.nih.gov/genome/?term=44038 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase")
